car_ID,CarName,colour,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,kerbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,highwaympg,mileage (km/l),emission_levels (g/km of CO2),battery_capacity (kWh),car_weight,cruise_control,electronic_braking_system,hill_hold,tire_pressure_monitoring_system,sunroof,ventilated_seat,new_car_price
33,honda civic,standard,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1837,ohc,4,79,1bbl,2.91,3.07,10.1,60,5500,42,11.09,126.31,25.5,1430,no,no,no,no,no,no,1344351
34,honda accord cvcc,standard,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1940,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,34,15.78,139.13,25.5,1333,no,no,no,no,no,no,1625721
35,honda civic cvcc,standard,gas,std,2,hatchback,fwd,front,93.7,150,64,52.6,1956,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,34,14.75,147.64,25.5,1537,no,no,no,no,no,no,1775121
36,honda accord lx,standard,gas,std,4,sedan,fwd,front,96.5,163.4,64,54.5,2010,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,34,14.47,134.97,25.5,1558,no,no,no,no,no,no,1816455
37,honda civic 1500 gl,standard,gas,std,4,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,4,92,1bbl,2.92,3.41,9.2,76,6000,34,10.37,122.6,25.5,1426,no,no,no,no,no,no,1816455
38,honda accord,standard,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,4,110,1bbl,3.15,3.58,9,86,5800,33,15.05,138.42,25.5,1258,no,no,no,no,no,no,1965855
39,honda civic 1300,standard,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,4,110,1bbl,3.15,3.58,9,86,5800,33,10.8,141.79,25.5,1503,no,no,no,no,no,no,2264655
40,honda prelude,standard,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,3.15,3.58,9,86,5800,33,10.62,129.48,25.5,1456,no,no,no,no,no,no,2202405
41,honda accord,metallic,gas,std,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,3.15,3.58,9,86,5800,33,11.88,124.19,25.5,1311,no,no,no,no,no,no,2563455
42,honda civic,metallic,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,3.15,3.58,9,101,5800,28,12.47,146.52,25.5,1443,no,no,no,no,no,no,3223305
43,honda civic (auto),metallic,gas,std,2,sedan,fwd,front,96.5,169.1,66,51,2293,ohc,4,110,2bbl,3.15,3.58,9.1,100,5500,31,10.15,132.35,25.5,1534,no,no,no,no,no,no,2575905
44,isuzu MU-X,standard,gas,std,4,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4,111,2bbl,3.31,3.23,8.5,78,4800,29,13.03,140.89,39,1524,no,no,no,no,no,no,1689465
45,isuzu D-Max ,standard,gas,std,2,sedan,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,43,12.68,137.2,39,1334,no,no,no,no,no,no,2220208.5
46,isuzu D-Max V-Cross,standard,gas,std,4,sedan,fwd,front,94.5,155.9,63.6,52,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,43,12.57,128.03,39,1452,no,no,no,no,no,no,2220208.5
47,isuzu D-Max ,metallic,gas,std,2,hatchback,rwd,front,96,172.6,65.2,51.4,2734,ohc,4,119,spfi,3.43,3.23,9.2,90,5000,29,14.4,135.76,39,1282,no,no,no,no,no,no,2750952
48,jaguar xj,metallic,gas,std,4,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,19,15.51,143.17,46,1563,no,no,no,no,no,no,8030250
49,jaguar xf,metallic,gas,std,4,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,19,13.53,145.46,46,1272,no,no,no,no,no,no,8851950
50,jaguar xk,metallic,gas,std,2,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,12,326,mpfi,3.54,2.76,11.5,262,5000,17,12.03,129.79,46,1317,no,no,no,no,no,no,8964000
51,mazda rx3,standard,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,3.03,3.15,9,68,5000,31,11.82,127.1,48,1242,no,no,no,no,no,no,1293555
52,mazda glc deluxe,standard,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,3.03,3.15,9,68,5000,38,15.69,148.87,48,1385,no,no,no,no,no,no,1517655
53,mazda rx2 coupe,standard,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,3.03,3.15,9,68,5000,38,13.94,136.64,48,1372,no,no,no,no,no,no,1691955
54,mazda rx-4,standard,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,3.03,3.15,9,68,5000,38,12.24,123.71,48,1423,no,no,no,no,no,no,1667055
55,mazda glc deluxe,standard,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,3.08,3.15,9,68,5000,38,11.15,150,48,1163,no,no,no,no,no,no,1841355
56,mazda 626,metallic,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,23,10.89,142.06,48,1144,no,no,no,no,no,no,2725305
57,mazda glc,metallic,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2380,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,23,15.97,134.43,48,1565,no,no,no,no,no,no,2949405
58,mazda rx-7 gs,metallic,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,2,70,4bbl,3.33,3.255,9.4,101,6000,23,14.2,149.32,48,1500,no,no,no,no,no,no,3397605
59,mazda glc 4,metallic,gas,std,2,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,2,80,mpfi,3.33,3.255,9.4,135,6000,23,11.56,121.23,48,1575,no,no,no,no,no,no,3895605
60,mazda 626,standard,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,32,13.87,137.96,48,1332,no,no,no,no,no,no,2202405
61,mazda glc custom l,standard,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,32,14.64,146.27,48,1393,no,no,no,no,no,no,2115255
62,mazda glc custom,metallic,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,32,15.86,130.6,48,1285,no,no,no,no,no,no,2638155
63,mazda rx-4,metallic,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,32,13.74,125.97,48,1331,no,no,no,no,no,no,2551005
64,mazda glc deluxe,metallic,diesel,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,4,122,idi,3.39,3.39,22.7,64,4650,42,14.99,144.7,48,1399,no,no,no,no,no,no,2687955
65,mazda 626,metallic,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,32,10.44,133.03,48,1363,no,no,no,no,no,no,2800005
66,mazda glc,metallic,gas,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,4,140,mpfi,3.76,3.16,8,120,5000,27,10.11,141.37,48,1472,no,no,no,no,no,no,4551720
67,mazda rx-7 gs,metallic,diesel,std,4,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,4,134,idi,3.43,3.64,22,72,4200,39,14.18,127.67,48,1351,no,no,no,no,no,no,4567656
68,buick electra 225 custom,metallic,diesel,turbo,4,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,5,183,idi,3.58,3.64,21.5,123,4350,25,13.16,120.34,43,1222,no,no,no,no,no,no,6362448
69,buick century luxus (sw),metallic,diesel,turbo,4,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,5,183,idi,3.58,3.64,21.5,123,4350,25,15.32,136.08,43,1425,no,no,no,no,no,no,7033752
70,buick century,metallic,diesel,turbo,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,3.58,3.64,21.5,123,4350,25,11.46,143.45,43,1269,no,no,no,no,no,no,7015824
71,buick skyhawk,metallic,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,3.58,3.64,21.5,123,4350,25,15.2,147.72,43,1441,no,no,no,no,no,no,7868400
72,buick opel isuzu deluxe,metallic,gas,std,4,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,18,12.93,132.09,43,1422,no,no,no,no,no,no,8511816
73,buick skylark,metallic,gas,std,2,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,18,13.62,126.46,43,1192,no,no,no,no,no,no,8728944
74,buick century special,metallic,gas,std,4,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,3.8,3.35,8,184,4500,16,10.07,145.13,43,1530,no,no,no,no,no,no,10199040
75,buick regal sport coupe (turbo),metallic,gas,std,2,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,8,304,mpfi,3.8,3.35,8,184,4500,16,13.29,138.8,43,1509,no,no,no,no,no,no,11304600
76,mercury cougar,metallic,gas,turbo,2,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,4,140,mpfi,3.78,3.12,8,175,5000,24,10.84,122.47,51,1341,no,no,no,no,no,no,4109247
77,mitsubishi mirage,standard,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,41,15.11,148.54,51,1434,no,no,no,no,no,no,1341861
78,mitsubishi lancer,standard,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,38,11.64,131.82,51,1577,no,no,no,no,no,no,1541061
79,mitsubishi outlander,standard,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,38,14.35,139.7,51,1185,no,no,no,no,no,no,1660581
80,mitsubishi g4,standard,gas,turbo,2,hatchback,fwd,front,93,157.3,63.8,50.8,2145,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,30,13.51,144.01,51,1315,no,no,no,no,no,no,1914561
81,mitsubishi mirage g4,standard,gas,turbo,2,hatchback,fwd,front,96.3,173,65.4,49.4,2370,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,30,14.82,135.34,51,1420,no,no,no,no,no,no,2479791
82,mitsubishi g4,standard,gas,std,2,hatchback,fwd,front,96.3,173,65.4,49.4,2328,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,32,11.28,123.15,51,1410,no,no,no,no,no,no,2116251
83,mitsubishi outlander,metallic,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,4,156,spdi,3.58,3.86,7,145,5000,24,14.03,140.46,51,1483,no,no,no,no,no,no,3144621
84,mitsubishi g4,metallic,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,4,156,spdi,3.59,3.86,7,145,5000,24,10.33,142.83,51,1362,no,no,no,no,no,no,3702381
85,mitsubishi mirage g4,metallic,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,4,156,spdi,3.59,3.86,7,145,5000,24,11.41,128.52,51,1335,no,no,no,no,no,no,3607761
86,mitsubishi montero,standard,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,32,11.74,124.85,51,1147,no,no,no,no,no,no,1740261
87,mitsubishi pajero,standard,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,32,12.75,147.18,51,1380,no,no,no,no,no,no,2039061
88,mitsubishi outlander,standard,gas,turbo,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,30,10.55,130.95,51,1370,no,no,no,no,no,no,2310471
89,mitsubishi mirage g4,standard,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,30,13.04,143.32,51,1350,no,no,no,no,no,no,2310471
90,Nissan versa,standard,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,10.69,136.69,62,1314,no,no,no,no,no,no,1369251
91,nissan gt-r,standard,diesel,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,4,103,idi,2.99,3.47,21.9,55,4800,50,12.45,127.42,62,1164,no,no,no,no,no,no,1767651
92,nissan rogue,standard,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,15.42,135.15,62,1281,no,no,no,no,no,no,1655601
93,nissan latio,standard,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,12.13,144.56,62,1255,no,no,no,no,no,no,1705401
94,nissan titan,standard,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,13.39,148.83,62,1348,no,no,no,no,no,no,1829901
95,nissan leaf,standard,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,12.31,133.2,62,1149,no,no,no,no,no,no,1817451
96,nissan juke,standard,gas,std,2,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,14.55,129.57,62,1465,no,no,no,no,no,no,1941951
97,nissan latio,standard,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,15.38,146.24,62,1375,no,no,no,no,no,no,1867251
98,nissan note,standard,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,11.92,139.01,62,1369,no,no,no,no,no,no,1991751
99,nissan clipper,standard,gas,std,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,37,15.73,121.7,62,1230,no,no,no,no,no,no,2054001
100,nissan rogue,standard,gas,std,4,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,34,13.19,149.49,62,1213,no,no,no,no,no,no,2228301
101,nissan nv200,standard,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,34,14.07,124.93,62,1273,no,no,no,no,no,no,2377701
102,nissan dayz,metallic,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,3.43,3.27,9,152,5200,22,15.67,138.26,62,1457,no,no,no,no,no,no,3361251
103,nissan fuga,metallic,gas,std,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,3.43,3.27,9,152,5200,22,11.8,146.77,62,1398,no,no,no,no,no,no,3585351
104,nissan otti,metallic,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,6,181,mpfi,3.43,3.27,9,152,5200,25,14.29,132.1,62,1176,no,no,no,no,no,no,3361251
105,nissan teana,metallic,gas,std,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,6,181,mpfi,3.43,3.27,9,160,5200,25,12.41,126.43,62,1382,no,no,no,no,no,no,4282551
106,nissan kicks,metallic,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,23,11.18,144.07,62,1191,no,no,no,no,no,no,4905051
107,nissan clipper,metallic,gas,std,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,9,160,5200,25,14.46,141.44,62,1387,no,no,no,no,no,no,4581351
108,peugeot 504,metallic,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,4,120,mpfi,3.46,3.19,8.4,97,5000,24,13.9,127.71,43,1218,no,no,no,no,no,no,2963100
109,peugeot 304,metallic,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,4,152,idi,3.7,3.52,21,95,4150,33,10.98,122.02,43,1239,no,no,no,no,no,no,3286800
110,peugeot 504 (sw),metallic,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,4,120,mpfi,3.46,3.19,8.4,97,5000,24,11.94,145.35,43,1532,no,no,no,no,no,no,3097560
111,peugeot 504,metallic,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,4,152,idi,3.7,3.52,21,95,4150,25,13.06,129.18,43,1431,no,no,no,no,no,no,3451140
112,peugeot 504,metallic,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,2.19,8.4,95,5000,24,12.08,142.63,43,1142,no,no,no,no,no,no,3879420
113,peugeot 604sl,metallic,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21,95,4150,33,14.16,135.94,43,1459,no,no,no,no,no,no,4208100
114,peugeot 504,metallic,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,4,120,mpfi,3.46,2.19,8.4,95,5000,24,11.7,128.27,43,1446,no,no,no,no,no,no,4157055
115,peugeot 505s turbo diesel,metallic,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,4,152,idi,3.7,3.52,21,95,4150,25,12.29,136.8,43,1344,no,no,no,no,no,no,4251675
116,peugeot 504,metallic,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,3.19,8.4,97,5000,24,14.73,143.81,43,1330,no,no,no,no,no,no,4140870
117,peugeot 504,metallic,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21,95,4150,33,11.34,148.08,43,1394,no,no,no,no,no,no,4469550
118,peugeot 604sl,metallic,gas,turbo,4,sedan,rwd,front,108,186.7,68.3,56,3130,l,4,134,mpfi,3.61,3.21,7,142,5600,24,12.87,130.41,43,1474,no,no,no,no,no,no,4519350
119,plymouth fury iii,standard,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,41,14.64,125.74,46,1501,no,no,no,no,no,no,1387428
120,plymouth cricket,standard,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,30,15.01,147.41,46,1342,no,no,no,no,no,no,1981293
121,plymouth fury iii,standard,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,38,10.68,140.18,46,1429,no,no,no,no,no,no,1551021
122,plymouth satellite custom (sw),standard,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,38,13.63,123.49,46,1435,no,no,no,no,no,no,1666308
